connector_id,source_label,notation,pollutant_label,source_uom,observed_property_code,mapping_kind,is_aqi_eligible,is_active,confidence,notes,match_method,detected_units,site_count,file_count,nonempty_value_count,sample_file
1,ethyne,,ethyne,ug/m3,hcch,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (9061),4,4,9061,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,gaseous ammonia,,gaseous ammonia,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1961),2,2,1961,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,gaseous hydrochloric acid,,gaseous hydrochloric acid,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1284),2,2,1284,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,gaseous nitric acid,,gaseous nitric acid,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1943),2,2,1943,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,gaseous nitrous acid,,gaseous nitrous acid,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1936),2,2,1936,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,gaseous sulphur dioxide,,gaseous sulphur dioxide,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1946),2,2,1946,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,Infra Red Particulate matter (950nm),,Infra Red Particulate matter (950nm),ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (88950),23,23,88950,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,iso-butane,,iso-butane,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (9323),4,4,9323,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,iso-butene,,iso-butene,,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,,1,1,0,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,iso-octane,,iso-octane,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (8600),4,4,8600,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
